scenario,simulation_id,#simulation,gt_type,n_manufacturers,periods,disruption_prob,disruption_magnitude,traje,peak_shortage,avg_shortage,shortage_periods,resolution_time,total_profit,buyer_cost,fda_interventions,predicted_resolution_period,confidence_level,method
gt_id_5,b54d7369,0,2.0,2,10,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage detected. Monitoring closely.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage persists; urging faster response.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'Manufacturer 1 disrupted; monitoring impact.'}, {'period': 4, 'total_demand': 1.1, 'total_supply': 0.28, 'shortage_amount': 0.82, 'unsold': 0.0, 'shortage_percentage': 74.55, 'disrupted_manufacturers': [1], 'fda_announcement': 'Severe shortage; emergency measures considered.'}, {'period': 5, 'total_demand': 1.05, 'total_supply': 0.28, 'shortage_amount': 0.77, 'unsold': 0.0, 'shortage_percentage': 73.33, 'disrupted_manufacturers': [1], 'fda_announcement': 'Emergency measures implemented; recovery expected.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Manufacturer 1 recovers; supply improving.'}, {'period': 7, 'total_demand': 0.95, 'total_supply': 0.9, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 5.26, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply nearing equilibrium; monitoring continues.'}, {'period': 8, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved; normal operations resumed.'}, {'period': 9, 'total_demand': 0.95, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': ''}]",0.7454999999999999,0.31919000000000003,8,8,6.96,13.979000000000001,9,8,medium,zero_shot_trajectory
gt_id_9,8db58a60,0,2.0,4,4,0.05,0.6,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 0.85, 'shortage_amount': 0.2, 'unsold': 0.0, 'shortage_percentage': 19.05, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring situation, advises caution on stockpiling.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.85, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 22.73, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA encourages manufacturers to increase production capacity.'}, {'period': 2, 'total_demand': 1.05, 'total_supply': 1.0, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 4.76, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA notes improvement in supply, advises against further stockpiling.'}, {'period': 3, 'total_demand': 1.0, 'total_supply': 1.05, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA declares shortage resolved.'}]",0.2273,0.11635,3,2,3.75,4.75,4,3,medium,zero_shot_trajectory
gt_id_14,093ce531,0,2.0,6,5,0.05,0.6,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 0.9, 'shortage_amount': 0.15, 'unsold': 0.0, 'shortage_percentage': 14.29, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring the situation, advises against panic buying.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.9, 'shortage_amount': 0.2, 'unsold': 0.0, 'shortage_percentage': 18.18, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA encourages manufacturers to consider capacity investments.'}, {'period': 2, 'total_demand': 1.08, 'total_supply': 0.9, 'shortage_amount': 0.18, 'unsold': 0.0, 'shortage_percentage': 16.67, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA announces potential regulatory support for capacity expansion.'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 0.98, 'shortage_amount': 0.07, 'unsold': 0.0, 'shortage_percentage': 6.67, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms no new disruptions, encourages continued investment.'}, {'period': 4, 'total_demand': 1.02, 'total_supply': 1.05, 'shortage_amount': 0.0, 'unsold': 0.03, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA declares shortage resolved, thanks manufacturers for cooperation.'}]",0.1818,0.11162000000000001,4,4,4.73,5.960000000000001,5,4,medium,zero_shot_trajectory
gt_id_20,2ad14914,0,2.0,7,5,0.05,0.5,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 0.93, 'shortage_amount': 0.12, 'unsold': 0.0, 'shortage_percentage': 11.43, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring situation; no immediate action.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.93, 'shortage_amount': 0.17, 'unsold': 0.0, 'shortage_percentage': 15.45, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA encourages manufacturers to increase production.'}, {'period': 2, 'total_demand': 1.08, 'total_supply': 0.93, 'shortage_amount': 0.15, 'unsold': 0.0, 'shortage_percentage': 13.89, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA announces potential expedited approvals for capacity expansions.'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 1.03, 'shortage_amount': 0.02, 'unsold': 0.0, 'shortage_percentage': 1.9, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms expedited approval for new capacities.'}, {'period': 4, 'total_demand': 1.0, 'total_supply': 1.05, 'shortage_amount': 0.0, 'unsold': 0.05, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA declares shortage resolved.'}]",0.1545,0.08534000000000001,4,3,4.87,5.7860000000000005,5,4,high,zero_shot_trajectory
gt_id_48,e531bb7d,0,2.0,2,4,0.05,0.6,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA advises monitoring the situation closely.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA encourages manufacturers to consider capacity expansion.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.85, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 22.73, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports potential capacity expansions in the pipeline.'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 1.0, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 4.76, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms supply levels returning to normal.'}]",0.3636,0.24294999999999997,4,3,3.25,5.455000000000001,4,3,medium,zero_shot_trajectory
gt_id_54,16699a13,0,2.0,2,7,0.05,0.6,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.7, 'shortage_amount': 0.3, 'unsold': 0.0, 'shortage_percentage': 30.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Initial shortage observed. Monitoring closely.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'Encouraging manufacturers to increase production.'}, {'period': 2, 'total_demand': 1.15, 'total_supply': 0.7, 'shortage_amount': 0.45, 'unsold': 0.0, 'shortage_percentage': 39.13, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA may expedite approvals for capacity expansion.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.85, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 22.73, 'disrupted_manufacturers': [], 'fda_announcement': 'First signs of supply increase observed.'}, {'period': 4, 'total_demand': 1.05, 'total_supply': 0.95, 'shortage_amount': 0.1, 'unsold': 0.0, 'shortage_percentage': 9.52, 'disrupted_manufacturers': [], 'fda_announcement': 'Supply improving, shortage reducing.'}, {'period': 5, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Shortage resolved. Monitoring for stability.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'Market stable. No further interventions planned.'}]",0.39130000000000004,0.19677142857142857,5,5,5.8999999999999995,9.05,7,5,medium,zero_shot_trajectory
gt_id_58,941fbb0c,0,2.0,2,4,0.05,0.6,"[{'period': 0, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA acknowledges current shortage, advises on conservation.'}, {'period': 1, 'total_demand': 1.15, 'total_supply': 0.7, 'shortage_amount': 0.45, 'unsold': 0.0, 'shortage_percentage': 39.13, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA encourages manufacturers to increase production capacity.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.85, 'shortage_amount': 0.25, 'unsold': 0.0, 'shortage_percentage': 22.73, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports manufacturers have begun capacity expansions.'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 1.0, 'shortage_amount': 0.05, 'unsold': 0.0, 'shortage_percentage': 4.76, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms supply is approaching normal levels.'}]",0.39130000000000004,0.25745,4,3,3.25,5.665000000000001,4,4,medium,zero_shot_trajectory
gt_id_60,e41d3fa2,0,2.0,2,4,0.05,0.6,"[{'period': 0, 'total_demand': 1.1, 'total_supply': 0.7, 'shortage_amount': 0.4, 'unsold': 0.0, 'shortage_percentage': 36.36, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA acknowledges potential shortage, advises on prudent use.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.7, 'shortage_amount': 0.35, 'unsold': 0.0, 'shortage_percentage': 33.33, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA encourages manufacturers to increase production capacity.'}, {'period': 2, 'total_demand': 1.02, 'total_supply': 0.85, 'shortage_amount': 0.17, 'unsold': 0.0, 'shortage_percentage': 16.67, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports manufacturer investments coming online soon.'}, {'period': 3, 'total_demand': 1.0, 'total_supply': 1.0, 'shortage_amount': 0.0, 'unsold': 0.0, 'shortage_percentage': 0.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms resolution of the shortage.'}]",0.3636,0.2159,3,3,3.25,5.182,4,3,medium,zero_shot_trajectory
gt_id_61,335264a0,0,2.0,9,4,0.05,0.3333333333333333,"[{'period': 0, 'total_demand': 1.05, 'total_supply': 0.96, 'shortage_amount': 0.09, 'unsold': 0.0, 'shortage_percentage': 8.57, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitors situation, advises caution in stockpiling.'}, {'period': 1, 'total_demand': 1.1, 'total_supply': 0.96, 'shortage_amount': 0.14, 'unsold': 0.0, 'shortage_percentage': 12.73, 'disrupted_manufacturers': [3], 'fda_announcement': 'FDA encourages manufacturers to increase production capacity.'}, {'period': 2, 'total_demand': 1.08, 'total_supply': 0.96, 'shortage_amount': 0.12, 'unsold': 0.0, 'shortage_percentage': 11.11, 'disrupted_manufacturers': [3], 'fda_announcement': 'FDA announces potential importation of foreign supply.'}, {'period': 3, 'total_demand': 1.05, 'total_supply': 1.02, 'shortage_amount': 0.03, 'unsold': 0.0, 'shortage_percentage': 2.86, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA confirms importation plans, supply expected to normalize.'}]",0.1273,0.088175,4,3,3.9,4.698,4,4,medium,zero_shot_trajectory
gt_id_66,c134cc55,0,2.0,6,10,0.05,0.5,"[{'period': 0, 'total_demand': 1.0, 'total_supply': 0.92, 'shortage_amount': 0.08, 'unsold': 0.0, 'shortage_percentage': 8.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA monitoring supply levels; no immediate action required.'}, {'period': 1, 'total_demand': 1.05, 'total_supply': 0.92, 'shortage_amount': 0.13, 'unsold': 0.0, 'shortage_percentage': 12.38, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA advises manufacturers to consider capacity expansion.'}, {'period': 2, 'total_demand': 1.1, 'total_supply': 0.92, 'shortage_amount': 0.18, 'unsold': 0.0, 'shortage_percentage': 16.36, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA announces potential for expedited review of capacity expansions.'}, {'period': 3, 'total_demand': 1.1, 'total_supply': 0.92, 'shortage_amount': 0.18, 'unsold': 0.0, 'shortage_percentage': 16.36, 'disrupted_manufacturers': [1], 'fda_announcement': 'FDA confirms disruption at Manufacturer 1; advises market to prepare.'}, {'period': 4, 'total_demand': 1.05, 'total_supply': 0.46, 'shortage_amount': 0.59, 'unsold': 0.0, 'shortage_percentage': 56.19, 'disrupted_manufacturers': [1], 'fda_announcement': 'FDA urges manufacturers to expedite capacity recovery.'}, {'period': 5, 'total_demand': 1.0, 'total_supply': 0.92, 'shortage_amount': 0.08, 'unsold': 0.0, 'shortage_percentage': 8.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA notes recovery of Manufacturer 1; supply expected to stabilize.'}, {'period': 6, 'total_demand': 1.0, 'total_supply': 0.92, 'shortage_amount': 0.08, 'unsold': 0.0, 'shortage_percentage': 8.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA continues monitoring; no further disruptions reported.'}, {'period': 7, 'total_demand': 1.0, 'total_supply': 0.92, 'shortage_amount': 0.08, 'unsold': 0.0, 'shortage_percentage': 8.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA encourages strategic investments to prevent future shortages.'}, {'period': 8, 'total_demand': 1.0, 'total_supply': 0.92, 'shortage_amount': 0.08, 'unsold': 0.0, 'shortage_percentage': 8.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA reports stable market conditions; no immediate concerns.'}, {'period': 9, 'total_demand': 1.0, 'total_supply': 0.92, 'shortage_amount': 0.08, 'unsold': 0.0, 'shortage_percentage': 8.0, 'disrupted_manufacturers': [], 'fda_announcement': 'FDA concludes monitoring; market expected to remain stable.'}]",0.5619,0.14928999999999998,10,,8.74,12.016000000000002,10,5,medium,zero_shot_trajectory
